"ID","Name","AWt","forSrc","Fld","Ident","Row","Col","ElType"
1,"H",1.0079400539398193,true,"1","H",1,1,0
2,"He",4.0026021003723145,false,"2","He",1,11,0
3,"Li",6.940999984741211,true,"3","Li",2,1,0
4,"Be",9.012182235717773,true,"4","Be",2,2,0
5,"B",10.810999870300293,true,"5","B",2,3,1
6,"C",12.01099967956543,true,"6","C",2,4,1
7,"N",14.006739616394043,true,"7","N",2,5,1
8,"O",15.99940013885498,true,"8","O",2,6,1
9,"F",18.998403549194336,true,"9","F",2,7,1
10,"Ne",20.17970085144043,false,"10","Ne",2,11,1
11,"Na",22.98976707458496,true,"11","Na",3,1,0
12,"Mg",24.30500030517578,true,"12","Mg",3,2,0
13,"Al",26.981538772583008,true,"13","Al",3,3,1
14,"Si",28.085500717163086,true,"14","Si",3,4,1
15,"P",30.97376251220703,true,"15","P",3,5,1
16,"S",32.066001892089844,true,"16","S",3,6,1
17,"Cl",35.452701568603516,true,"17","Cl",3,7,1
18,"Ar",39.948001861572266,false,"18","Ar",3,11,1
19,"K",39.09830093383789,true,"19","K",4,1,0
20,"Ca",40.077999114990234,true,"20","Ca",4,2,0
21,"Sc",44.955909729003906,true,"21","Sc",4,3,2
22,"Ti",47.880001068115234,true,"22","Ti",4,4,2
23,"V",50.94150161743164,true,"23","V",4,5,2
24,"Cr",51.99610137939453,true,"24","Cr",4,6,2
25,"Mn",54.93804931640625,true,"25","Mn",4,7,2
26,"Fe",55.84700012207031,true,"26","Fe",4,8,2
27,"Co",58.93320083618164,true,"27","Co",4,9,2
28,"Ni",58.689998626708984,true,"28","Ni",4,10,2
29,"Cu",63.54600143432617,true,"29","Cu",5,1,2
30,"Zn",65.38999938964844,true,"30","Zn",5,2,2
31,"Ga",69.7229995727539,true,"31","Ga",5,3,1
32,"Ge",72.61000061035156,true,"32","Ge",5,4,1
33,"As",74.92159271240234,true,"33","As",5,5,1
34,"Se",78.95999908447266,true,"34","Se",5,6,1
35,"Br",79.90399932861328,true,"35","Br",5,7,1
36,"Kr",83.80000305175781,false,"36","Kr",5,11,1
37,"Rb",85.4677963256836,true,"37","Rb",6,1,0
38,"Sr",87.62000274658203,true,"38","Sr",6,2,0
39,"Y",88.90585327148438,true,"39","Y",6,3,2
