"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag","System","qAtom","Atoms","SimpleComp"
"Si","O",1,2,"SiO2","SiOâ","si",60.08430099487305,28.09000015258789,15.989999771118164,0.699999988079071,"SiO2",false,0,true,false,"SiO2,RmOn,SimOn",-1,20,1,"##0.##;##0.00;\-;\*",1,"SiO2",3,"Si 1 28.0855 O 2 15.9994 ",
"Al","O",2,3,"Al2O3","AlâOã","al",101.9613037109375,26.979999542236328,15.989999771118164,0.699999988079071,"Al2O3",false,0,true,false,"Al2O3,RmOn,AlmOn,R2O3",0,1,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Al 2 26.98154 O 3 15.9994 ",
"B","O",2,3,"B2O3","BâOã","b",69.62020111083984,10.8100004196167,15.989999771118164,0.699999988079071,"B2O3",false,0,true,false,"B2O3,RmOn,BmOn,R2O3",0,3,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"B 2 10.811 O 3 15.9994 ",
"Ba","O",1,1,"BaO","BaO","ba",153.32640075683594,137.3300018310547,15.989999771118164,0.699999988079071,"BaO",false,0,true,false,"BaO,RmOn,BamOn,RO",0,4,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Ba 1 137.327 O 1 15.9994 ",
"Be","O",1,1,"BeO","BeO","be",25.011579513549805,9.010000228881836,15.989999771118164,0.699999988079071,"BeO",false,0,true,false,"BeO,RmOn,BemOn,RO",0,5,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Be 1 9.012182 O 1 15.9994 ",
"Bi","O",2,3,"Bi2O3","BiâOã","bi",465.9590148925781,208.9600067138672,15.989999771118164,0.699999988079071,"Bi2O3",false,0,true,false,"Bi2O3,RmOn,BimOn,R2O3",,,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Bi 2 208.9804 O 3 15.9994 ",
"Ca","O",1,1,"CaO","CaO","ca",56.07740020751953,40.08000183105469,15.989999771118164,0.699999988079071,"CaO",false,0,true,false,"CaO,RmOn,CamOn,RO",0,6,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Ca 1 40.078 O 1 15.9994 ",
"Cd","O",1,1,"CdO","CdO","cd",128.410400390625,112.41000366210938,15.989999771118164,0.699999988079071,"CdO",false,0,true,false,"CdO,RmOn,CdmOn,RO",0,7,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Cd 1 112.411 O 1 15.9994 ",
"Ce","O",1,2,"CeO2","CeOâ","ce",172.11380004882812,140.1199951171875,15.989999771118164,0.699999988079071,,false,0,true,false,"CeO2,RmOn,CemOn,RO2",,,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Ce 1 140.115 O 2 15.9994 ",
"Ce","O",2,3,"Ce2O3","CeâOã","ce3",328.22821044921875,140.1199951171875,15.989999771118164,0.699999988079071,,false,0,false,false,"Ce2O3,RmOn,CemOn,R2O3",,,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Ce 2 140.115 O 3 15.9994 ",
"Cs","O",2,1,"Cs2O","CsâO","cs",281.8102111816406,132.91000366210938,15.989999771118164,0.699999988079071,"Cs2O",false,0,true,false,"Cs2O,RmOn,CsmOn,R2O",,,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"Cs 2 132.9054 O 1 15.9994 ",
"Ge","O",1,2,"GeO2","GeOâ","ge",104.60880279541016,72.58999633789062,15.989999771118164,0.699999988079071,"GeO2",false,0,true,false,"GeO2,RmOn,GemOn,RO2",0,12,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Ge 1 72.61 O 2 15.9994 ",
"Hf","O",1,2,"HfO2","HfOâ","hf",210.48880004882812,178.49000549316406,15.989999771118164,0.699999988079071,,false,0,true,false,"HfO2,RmOn,HfmOn,RO2",,,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Hf 1 178.49 O 2 15.9994 ",
"K","O",2,1,"K2O","KâO","k",94.19599914550781,39.099998474121094,15.989999771118164,0.699999988079071,"K2O",false,0,true,false,"K2O,RmOn,KmOn,R2O",0,13,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"K 2 39.0983 O 1 15.9994 ",
"La","O",2,3,"La2O3","LaâOã","la",325.8092041015625,138.91000366210938,15.989999771118164,0.699999988079071,,false,0,true,false,"La2O3,RmOn,LamOn,R2O3",,,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"La 2 138.9055 O 3 15.9994 ",
"Li","O",2,1,"Li2O","LiâO","li",29.881399154663086,6.940000057220459,15.989999771118164,0.699999988079071,"Li2O",false,0,true,false,"Li2O,RmOn,LimOn,R2O",0,15,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"Li 2 6.941 O 1 15.9994 ",
"Mg","O",1,1,"MgO","MgO","mg",40.30440139770508,24.309999465942383,15.989999771118164,0.699999988079071,"MgO",false,0,true,false,"MgO,RmOn,MgmOn,RO",0,16,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Mg 1 24.305 O 1 15.9994 ",
"Na","O",2,1,"Na2O","NaâO","na",61.978939056396484,22.989999771118164,15.989999771118164,0.699999988079071,"Na2O",false,0,true,false,"Na2O,RmOn,NamOn,R2O",0,17,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"Na 2 22.98977 O 1 15.9994 ",
"Nb","O",2,5,"Nb2O5","NbâOå","nb",265.809814453125,92.91000366210938,15.989999771118164,0.699999988079071,,false,0,true,false,"Nb2O5,RmOn,NbmOn,R2O5",,,1,"##0.##;##0.00;\-;\*",1,"R2O5",7,"Nb 2 92.90638 O 5 15.9994 ",
"Nd","O",2,3,"Nd2O3","NdâOã","nd",336.47821044921875,144.24000549316406,15.989999771118164,0.699999988079071,,false,0,true,false,"Nd2O3,RmOn,NdmOn,R2O3",,,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Nd 2 144.24 O 3 15.9994 ",
"P","O",2,5,"P2O5","PâOå","p",141.9445037841797,30.969999313354492,15.989999771118164,0.699999988079071,"P2O5",false,0,true,false,"P2O5,RmOn,PmOn,R2O5",,,1,"##0.##;##0.00;\-;\*",1,"R2O5",7,"P 2 30.97376 O 5 15.9994 ",
"Pb","O",1,1,"PbO","PbO","pb",223.19940185546875,207.1999969482422,15.989999771118164,0.699999988079071,"PbO",false,0,true,false,"PbO,RmOn,PbmOn,RO",0,18,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Pb 1 207.2 O 1 15.9994 ",
"Rb","O",2,1,"Rb2O","RbâO","rb",186.93499755859375,85.47000122070312,15.989999771118164,0.699999988079071,,false,0,true,false,"Rb2O,RmOn,RbmOn,R2O",,,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"Rb 2 85.4678 O 1 15.9994 ",
"Sm","O",2,3,"Sm2O3","SmâOã","sm",348.71820068359375,150.39999389648438,15.989999771118164,0.699999988079071,,false,0,true,false,"Sm2O3,RmOn,SmmOn,R2O3",,,1,"##0.##;##0.00;\-;\*",1,"R2O3",5,"Sm 2 150.36 O 3 15.9994 ",
"Sn","O",1,1,"SnO","SnO","sn",134.7093963623047,118.69000244140625,15.989999771118164,0.699999988079071,,false,0,true,false,"SnO,RmOn,SnmOn,RO",,,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Sn 1 118.71 O 1 15.9994 ",
"Sr","O",1,1,"SrO","SrO","sr",103.61940002441406,87.62000274658203,15.989999771118164,0.699999988079071,"SrO",false,0,true,false,"SrO,RmOn,SrmOn,RO",0,21,1,"##0.##;##0.00;\-;\*",1,"RO",2,"Sr 1 87.62 O 1 15.9994 ",
"Ta","O",2,5,"Ta2O5","TaâOå","ta",441.8927917480469,180.9499969482422,15.989999771118164,0.699999988079071,,false,0,true,false,"Ta2O5,RmOn,TamOn,R2O5",,,1,"##0.##;##0.00;\-;\*",1,"R2O5",7,"Ta 2 180.9479 O 5 15.9994 ",
