"KOD","ID","IDF","Group","Unit","NAME","CalcName","GreekName","FLDNAM","KFF","EQ","UsKFF","UsUnit","Min","Max","PTip","PDim","PFormat","Visible","Order","Format","Troom","CalcUnit"
1,"400","TMP",4,"oC","T2 (logEta=2)","Tâ (logñ=2)","Tâ (logñ=2)","t2","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,29,"###0",false,"oC"
2,"400","TMP",4,"oC","T3 (logEta=3)","Tã (logñ=3)","Tã (logñ=3)","t3","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,30,"###0",false,"oC"
3,"400","TMP",4,"oC","T4 (logEta=4)","Tä (logñ=4)","Tä (logñ=4)","t4","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,31,"###0",false,"oC"
4,"400","TMP",4,"oC","T5 (logEta=5)","Tå (logñ=5)","Tå (logñ=5)","t5","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,32,"###0",false,"oC"
5,"400","TMP",4,"oC","T6 (logEta=6)","Tæ (logñ=6)","Tæ (logñ=6)","t6","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,33,"###0",false,"oC"
6,"400","TMP",4,"oC","T7 (logEta=7)","Tç (logñ=7)","Tç (logñ=7)","t7","1",,"1","oC",0,999999986991104,"TMP",8,"###0",-1,41,"###0",false,"oC"
7,"400","TMP",4,"oC","T8 (logEta=8)","Tè (logñ=8)","Tè (logñ=8)","t8","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,35,"###0",false,"oC"
8,"400","TMP",4,"oC","T9 (logEta=9)","Té (logñ=9)","Té (logñ=9)","t9","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,36,"###0",false,"oC"
9,"400","TMP",4,"oC","T10 (logEta=10)","Táà (logñ=10)","Táà (logñ=10)","t10","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,37,"###0",false,"oC"
10,"400","TMP",4,"oC","T11 (logEta=11)","Táá (logñ=11)","Táá (logñ=11)","t11","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,38,"###0",false,"oC"
