"KOD","ID","NN","SNAME","NAME","EI"
"x","300","1","arf","by Abbe refractometer",
"x","300","1","blm","by Becke line method",
"x","300","1","gm","by goniometer",
"x","300","1","im","by immersion method",
"x","300","1","if","by interferometer",
"x","300","1","mdm","by minimum deviation method",
"x","300","1","mdmg","by minimum deviation method using goniometer",
"x","300","1","obm","by Obreimov method",
"x","300","1","rf","by refractometer",
"x","300","1","prf","by Pulfrich refractometer",
"x","500","1","if","by interferometric method",
"x","500","1","pem","by pulse-echo method",
"x","500","1","pm","by pulse method",
"x","500","1","pom","by pulse overlap method",
"x","500","1","psm","by pulse superposition method",
"x","500","1","ptm","by pulse transmission method",
"x","500","1","upm","by ultrasonic pulse method",
"x","500","1","me","Measurements of elastic constants",
"c",,,"m","mol %",
"c",,,"mf","molar fraction",
"c",,,"a","analysis",
"r",,,,"Bibliography",
"x","100","1","ar","by Archimedes method",
"x","100","1","me","Measurements of density",
"x","130","1","sid","by a silica inclined dilatometer",
"x","130","1","svd","by a silica vertical dilatometer",
"x","130","1","wb","by weighing platinum body",
"x","130","1","shed","by Shevenard dilatometer",
"x","130","1","ad","by an alumina dilatometer",
"x","130","1","old","by an optical laser dilatometer",
"x","100","1","cntp","by counterbalanced platinum sphere method using Pt crucible",
"x","100","1","cnt","by counterbalanced platinum sphere method",
"x","100","1","fl","by flotation method",
"x","100","1","pc","by pycnometric method",
"x","400","1","bbm","by beam-bending method",
"x","400","1","cm","by counterbalanced method",
"x","400","1","cmp","by counterbalanced method with Pt body and crucible",
"x","400","1","fem","by fiber elongation method",
"x","400","1","fsm","by falling sphere method",
"x","400","1","mse","by spring extension",
"x","400","1","ov","by oscillating viscometer",
"x","400","1","ppm","by parallel plate method",
"x","400","1","ptm","by penetration method",
"x","400","1","rv","by rotating viscometer",
"x","400","1","rvc","by rotating viscometer with coaxial cylinders",
"x","400","1","rvm","by rotating viscometer with Mo rotating body and crucible",
"x","400","1","rvp","by rotating viscometer with Pt rotating body and crucible",
"x","400","1","tm","by torsion method",
"x","100","2","bz","using benzene",
"x","100","2","kr","using kerosene",
"x","100","2","tl","using toluene",
"x","100","2","w","using water",
"x","100","2","xy","using xylene",
"x","100","2","pb","using pentachlorethane and bromoform mixture",
"x","130","1","me","Measurements of thermal expansion",
"x","130","1","nd","by Netzsch dilatometer",
"x","130","1","mg","by a mercury-in-glass dilatometer",
"x","700","1","stand","by d.c. (ú>=10Ç Ohm.cm) and ac,50 Hz (ú<10Ç Ohm.cm) bridge methods",
"x","700","3","ge","using graphite electrodes",
"x","700","3","se","using silver electrodes",
"x","700","3","pe","using platinum electrodes",
"x","700","3","pre","using platinum-rhodium electrodes",
"x","700","3","goe","using gold electrodes",
"x","100","2","tl/w","using toluene and water",
"x","400","1","rvpi","by rotating viscometer with Pt-Ir rotating body",
"x","700","3","pwe","using platinum wire electrodes",
