"ID","SNAME","K","Name","DECODE","CalcTip","GLN","UNIT","F","IDF","USUNIT","KFF","USKFF","L2","P","F1","F2","PTip","nHDR","View","FldNam","format"
"400","vp",,,"ñ,P",,"at","P                             ","          ","VIS   ","P                             ","          ","          ","C","ñ                                                 ",,,"VIS ",0,1,,"##.##"
"400","vps",,,"ñ,Pa.s",,"at","Pa.s                          ","          ","VIS   ","P                             ","          ","          ","C","ñ                                                 ",,,"VIS ",0,1,,"##.##"
"400","lps",,,"log(ñ,Pa.s)",,"at","Pa.s                          ","log       ","VIS   ","P                             ","          ","          ","C","ñ                                                 ",,,"VIS ",0,1,,"##.##"
"500","edyn/mm",,"E*1E-11,dyn/mm2","E*1E-11,dyn/mm2","mod_ung",,"dyn/mm2                       ","          ","MDU   ","GPa                           ","1E-11     ","1E-11     ","Q","E                                                 ",,,"MDU ",0,1,"mod_ung",
"500","ekg/mm",,"E*1E-3,kg/mm2","E*1E-3,kgf/mm2","mod_ung",,"kgf/mm2                       ","          ","MDU   ","GPa                           ","1E-3      ","1E-3      ","Q","E                                                 ",,,"MDU ",0,1,"mod_ung",
"500","ekb",,"E,kbar","E,kbar","mod_ung",,"kbar                          ","          ","MDU   ","GPa                           ","          ","          ","Q","E                                                 ",,,"MDU ",0,1,"mod_ung",
"500","egpa",,"E,GPa","E,GPa","mod_ung",,"GPa                           ","          ","MDU   ","GPa                           ","          ","          ","Q","E                                                 ",,,"MDU ",0,1,"mod_ung",
"518","cl",,"Sound speed","c‹,m/s",,,"m/s                           ","          ","VEL   ","m/s                           ","          ","          ",,"c‹                                                ",,,"VEL ",0,1,,
"500","ccm/dyn",,"ì*1E12,cm2/dyn","ì*1E12,cm2/dyn",,,"cm2/dyn                       ","          ","SOC   ","Brewster                      ","1E12      ","1E12      ",,"ì                                                 ",,,"SOC ",0,1,,
"516","sop",,"B,Pa-1","B,Pa-1","soc",,"Pa-1                          ","          ","CMP   ","m2/N                          ","          ","          ",,"B                                                 ",,,"CMP ",0,1,,
"516","sob",,"B,Brewster","B,brewster","soc",,"brewster                      ","          ","SOC   ","Brewster                      ","          ","          ",,"B                                                 ",,,"SOC ",0,1,,
"516","soc",,"B,cm2/kg","B,cm2/kgf","soc",,"cm2/kgf                       ","          ","SOC   ","Brewster                      ","          ","          ",,"B                                                 ",,,"SOC ",0,1,,
