"Title","ShTitle","Abbr","flag"
"AIME, Techn. Publ.","AIME, Techn. Publ.","AIME;TP",1
"Am.Ceram.Soc.Bull.","Am.Ceram.Soc.Bull.","ACSB",1
"Am.J.Sci.,Ser.4","Am.J.Sci.,Ser.4","AJS;S4",1
"Arm.Khim.Zh.","Arm.Khim.Zh.","AKZ",1
"Am.Mineral.","Am.Mineral.","AMIN",1
"Appl.Opt.","Appl.Opt.","AO",1
"Ann.Phys.","Ann.Phys.","AP",1
"Berg-und Huttenmann.Monatshefte","Berg-und Huttenmann.Monatshefte","BHM",1
"Bull.Governm.Ind.Res.Inst.Osaka","Bull.Governm.Ind.Res.Inst.Osaka","BGIRIO",1
"Bull.Soc.d'Encour.,Ser.5","Bull.Soc.d`Encour.,Ser.5","BSE;S5",1
"Bull.Soc.Chim.France Mem.,Ser.5","Bull.Soc.Chim.France Mem.,Ser.5","BSCF;S5",1
"Collec.Czechoslovak Chem.Commun.","Collec.Czechoslovak Chem.Commun.","CCCC",1
"Centr.Glass Ceram.Res.Inst.Bull.","Centr.Glass Ceram.Res.Inst.Bull.","CGCRIB",1
"Canad.J.Chem.","Canad.J.Chem.","CJC",1
"Chin.J.Phys.","Chin.J.Phys.","CJP",1
"Contrib.Mineral.Petrol.","Contrib.Mineral.Petrol.","CMP",1
"C.R.Acad.Sci.,Ser.C","C.R.Acad.Sci.,Ser.C","CRAS;C",1
"C.R.Acad.Sci. (Compt.rend.)","C.R.Acad.Sci. (Compt.rend.)","CRAS",1
"Chem.Rev.","Chem.Rev.","CR",1
"Dokl.Akad.Nauk SSSR","Dokl.Akad.Nauk SSSR","DANSSSR",1
"Dokl.Akad.Nauk Bel.SSR","Dokl.Akad.Nauk Bel.SSR","DANBSSR",1
"Electrochim.Acta","Electrochim.Acta","EA",1
"Egypt.J.Phys.","Egypt.J.Phys.","EJP",1
"Elektricheskie Svoistva Stekla, Leningrad","Elektricheskie Svoistva Stekla, Leningrad","ESS",1
"Earth Planetary Sci.Lett.","Earth Planetary Sci.Lett.","EPSL",1
"Fizika i Khimiya Stekla","Fizika i Khimiya Stekla","FKS",1
"Fizika Tverdogo Tela","Fizika Tverdogo Tela","FTT",1
"In: Fiziko-Khimicheskie Issledovaniya Struktury i Svoistv Kvartsevogo Stekla, Moskva","In: Fiziko-Khim.Issled.Kvartsevogo Stekla, Moskva","FKISSKS",1
"Geochim.Cosmochim.Acta","Geochim.Cosmochim.Acta","GCA",1
"Glass Industry","Glass Industry","GI",1
"Glastech.Ber.","Glastech.Ber.","GB",1
"Glastech.Tabellen, Berlin","Glastech.Tabellen, Berlin","GT;B",1
"Glass Technology","Glass Technology","GT",1
"High Temp.Sci.","High Temp.Sci.","HTS",1
"Izv.Akad.Nauk SSSR, Otd.Tekh.Nauk, Metall.Gorn.Delo","Izv.Akad.Nauk SSSR, Otd.Tekh.Nauk, Metall.Gorn.Delo","IANSSSR;OTN;MGD",1
"Izv.Akad.Nauk SSSR, Otd.Tekh.Nauk, Metall.Topl.","Izv.Akad.Nauk SSSR, Otd.Tekh.Nauk, Metall.Topl.","IANSSSR;OTN;MT",1
"Izv.Akad.Nauk SSSR, Metally","Izv.Akad.Nauk SSSR, Metally","IANSSSR;M",1
"Izv.Akad.Nauk SSSR, Ser.Fiz.","Izv.Akad.Nauk SSSR, Ser.Fiz.","IANSSSR;SF",1
"Izv.Akad.Nauk Gruz.SSR,Ser.Khim.","Izv.Akad.Nauk Gruz.SSR,Ser.Khim.","IANGSSR;SK",1
"Izv.Akad.Nauk Arm.SSR,Khim.Nauki","Izv.Akad.Nauk Arm.SSR,Khim.Nauki","IANASSR;KN",1
"Izv.Akad.Nauk Kaz.SSR,ser.Khim.","Izv.Akad.Nauk Kaz.SSR,ser.Khim.","IANKSSR;SK",1
"Izv.Akad.Nauk Latv.SSR,Ser.Khim.","Izv.Akad.Nauk Latv.SSR,Ser.Khim.","IANLSSR;SK",1
"Izv.Vyssh.Uchebn.Zaved., Khimiya i Khim.Tekhnol.","Izv.Vyssh.Uchebn.Zaved., Khimiya i Khim.Tekhnol.","IVUZ;KT",1
"Izv.Vyssh.Uchebn.Zaved., Fizika","Izv.Vyssh.Uchebn.Zaved., Fizika","IVUZ;F",1
"J.Am.Ceram.Soc.","J.Am.Ceram.Soc.","JACS",1
"J.Appl.Phys.","J.Appl.Phys.","JAP",1
"J.Ceram.Soc.Jpn","J.Ceram.Soc.Jpn","JCSJ",1
"J.Ceram.Assoc.Jpn","J.Ceram.Assoc.Jpn","JCAJ",1
"J.Canad.Ceram.Soc.","J.Canad.Ceram.Soc.","JCCS",1
"J.Cryst.Growth","J.Cryst.Growth","JCG",1
"J.Chem.Phys","J.Chem.Phys","JCP",1
"J.Chin.Silic.Soc.","J.Chin.Silic.Soc.","JCSS",1
"J.Geophys.Res.","J.Geophys.Res.","JGR",1
"Jpn.J.Appl.Phys.","Jpn.J.Appl.Phys.","JJAP",1
"J.Jpn Inst.Metals","J.Jpn Inst.Metals","JJIM",1
"J.Korean Chem.Soc.","J.Korean Chem.Soc.","JKCS",1
"J.Mater.Sci.","J.Mater.Sci.","JMS",1
"J.Mater.Sci.Lett.","J.Mater.Sci.Lett.","MSL",1
"J.Non-Cryst.Solids","J.Non-Cryst.Solids","JNCS",1
"J.Nucl.Mater.","J.Nucl.Mater.","JNM",1
"J.Opt.Soc.Am.","J.Opt.Soc.Am.","JOSA",1
"J.Phys.Chem.","J.Phys.Chem.","JPC",1
"J.Phys.Chem.Solids","J.Phys.Chem.Solids","JPCS",1
"J.Phys.(Paris),Colloq.C9,suppl.12","J.Phys.(Paris),Colloq.C9,suppl.12","JP;C9;S12",1
"J.Res.Nat.Bur.Stand.","J.Res.Nat.Bur.Stand.","JRNBS",1
"J.Sci.Ind.Res.","J.Sci.Ind.Res.","JSIR",1
"J.Soc.Chem.Ind.","J.Soc.Chem.Ind.","JSCI",1
"J.Soc.Chem.Ind.Jpn","J.Soc.Chem.Ind.Jpn.","JSCIJ",1
"J.Soc.Glass Technol.","J.Soc.Glass Technol.","JSGT",1
"J.Soc.Mater.Sci.Jpn","J.Soc.Mater.Sci.Jpn","JSMSJ",1
"J.Soc.Powder Powder Metal.","J.Soc.Powder Powder Metal.","JSPPM",1
"Khimiya Redkikh Elementov, Leningrad","Khimiya Redkikh Elementov, Leningrad","KRE",1
"In: Khimiya Tverdogo Tela, Leningrad","In: Khimiya Tverdogo Tela, Leningrad","KTT",1
"Kolloid Z.,Z.Polymere","Kolloid Z.,Z.Polymere","KZ",1
"Metall.Trans.","Metall.Trans.","MT",1
"Nature","Nature","N",1
"Neorg.Mater.","Neorg.Mater.","NM",1
"Ogneupory","Ogneupory","OG",1
"Opt.Mekh.Prom.","Opt.Mekh.Prom.","OMP",1
