"KOD","ID","IDF","Group","Unit","NAME","CalcName","GreekName","FLDNAM","KFF","EQ","UsKFF","UsUnit","Min","Max","PTip","PDim","PFormat","Visible","Order","Format","Troom","CalcUnit"
1,"400","TMP",4,"oC","T2 (logEta=2)","Tâ (log[ñ,P]=2)","Tâ (log[ñ,P]=2)","t2","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,29,"###0",false,"oC"
2,"400","TMP",4,"oC","T3 (logEta=3)","Tã (log[ñ,P]=3)","Tã (log[ñ,P]=3)","t3","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,30,"###0",false,"oC"
3,"400","TMP",4,"oC","T4 (logEta=4)","Tä (log[ñ,P]=4)","Tä (log[ñ,P]=4)","t4","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,31,"###0",false,"oC"
4,"400","TMP",4,"oC","T5 (logEta=5)","Tå (log[ñ,P]=5)","Tå (log[ñ,P]=5)","t5","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,32,"###0",false,"oC"
5,"400","TMP",4,"oC","T6 (logEta=6)","Tæ (log[ñ,P]=6)","Tæ (log[ñ,P]=6)","t6","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,33,"###0",false,"oC"
6,"400","TMP",4,"oC","T7 (logEta=7)","Tç (log[ñ,P]=7)","Tç (log[ñ,P]=7)","t7","1",,"1","oC",0,999999986991104,"TMP",8,"###0",-1,41,"###0",false,"oC"
7,"400","TMP",4,"oC","T8 (logEta=8)","Tè (log[ñ,P]=8)","Tè (log[ñ,P]=8)","t8","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,35,"###0",false,"oC"
8,"400","TMP",4,"oC","T9 (logEta=9)","Té (log[ñ,P]=9)","Té (log[ñ,P]=9)","t9","1",,"1","oC",0,999999986991104,"TMP",8,"###0",0,36,"###0",false,"oC"
9,"400","TMP",4,"oC","T10 (logEta=10)","Táà (log[ñ,P]=10)","Táà (log[ñ,P]=10)","t10","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,37,"###0",false,"oC"
10,"400","TMP",4,"oC","T11 (logEta=11)","Táá (log[ñ,P]=11)","Táá (log[ñ,P]=11)","t11","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,38,"###0",false,"oC"
11,"400","TMP",4,"oC","T12 (logEta=12)","Táâ (log[ñ,P]=12)","Táâ (log[ñ,P]=12)","t12","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,14,"###0",false,"oC"
12,"400","TMP",4,"oC","T13 (logEta=13)","Táã (log[ñ,P]=13)","Táã (log[ñ,P]=13)","t13","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,15,"###0",false,"oC"
14,"400","VIS",4,"P","logEta at 500oC","logñ at 500°C","logñ at 500°C","v500","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,17,"#0.00",false,"P"
15,"400","VIS",4,"P","logEta at 600oC","logñ at 600°C","logñ at 600°C","v600","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,43,"#0.00",false,"P"
16,"400","VIS",4,"P","logEta at 700oC","logñ at 700°C","logñ at 700°C","v700","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,44,"#0.00",false,"P"
17,"400","VIS",4,"P","logEta at 800oC","logñ at 800°C","logñ at 800°C","v800","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,45,"#0.00",false,"P"
18,"400","VIS",4,"P","logEta at 900oC","logñ at 900°C","logñ at 900°C","v900","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,46,"#0.00",false,"P"
19,"400","VIS",4,"P","logEta at 1000oC","logñ at 1000°C","logñ at 1000°C","v1000","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,47,"#0.00",false,"P"
20,"400","VIS",4,"P","logEta at 1100oC","logñ at 1100°C","logñ at 1100°C","v1100","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,48,"#0.00",false,"P"
21,"400","VIS",4,"P","logEta at 1200oC","logñ at 1200°C","logñ at 1200°C","v1200","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,49,"#0.00",false,"P"
22,"400","VIS",4,"P","logEta at 1300oC","logñ at 1300°C","logñ at 1300°C","v1300","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,50,"#0.00",false,"P"
24,"400","VIS",4,"P","logEta at 1400oC","logñ at 1400°C","logñ at 1400°C","v1400","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,51,"#0.00",false,"P"
25,"400","VIS",4,"P","logEta at 1500oC","logñ at 1500°C","logñ at 1500°C","v1500","1","Log",,"P",-3,15,"VIS",7,"#0.00",0,52,"#0.00",false,"P"
26,"420","TMP",4.5,"oC","Tg","T†","T†","Tg","1",,"1","oC",0,999999986991104,"TMP",4,"###0",0,53,"###0",false,"oC"
27,"410","TMP",4,"oC","T_ Littleton","Littleton Point","Littleton Point","Lpt","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,54,"###0",false,"oC"
28,"410","TMP",4.5,"oC","Annealing Point","Annealing Point","Annealing Point","AnPt","1",,"1","oC",0,999999986991104,"TMP",9,"###0",0,55,"###0",false,"oC"
29,"410","TMP",4.5,"oC","Strain Point","Strain Point","Strain Point","Spt","1",,"1","oC",0,999999986991104,"TMP",6,"###0",0,56,"###0",false,"oC"
30.200000762939453,"700","ELR",7,"Ohm.cm","logRo at 150oC","logú at 150°C","logú at 150°C","Ro150","1","Log","1","Ohm.cm",-5,20,"ELR",7,"#0.00",0,57,"#0.00",false,"Ohm.cm"
30.299999237060547,"700","ELR",7,"Ohm.cm","logRo at 300oC","logú at 300°C","logú at 300°C","Ro300","1","Log","1","Ohm.cm",-5,20,"ELR",7,"#0.00",0,58,"#0.00",false,"Ohm.cm"
