"SLeg","GFvalue","PhSep","SLegNorm"
"~60% glass",2,,"~60% glass"
"~70% glass",2,,"~70% glass"
"~80% glass",2,,"~80% glass"
"<=50% glass",2,,"<=50% glass"
">50% glass",2,,">50% glass"
"1550°C limit",0,,"1550oC limit"
"1550oC limit",0,,"1550oC limit"
"50% devitrification",2,,"50% devitrification"
"60% devitr.",2,,"60% devitr."
"70% devitr.",2,,"70% devitr."
"70% devitrification",2,,"70% devitrification"
"A lot of devitrification",2,,"A lot of devitrification"
"Air cooling glass",1,,"Air cooling glass"
"Air quench glass",1,,"Air quench glass"
"all glass",1,,"Glass"
"Batch stone",2,,"Batch stone"
"Border of investigation glasses",0,,"Border of investigation glasses"
"Border of phase-separation",0,1,"Border of phase-separation"
"Border of phase-separated glass region",0,1,"Border of phase-separation"
"bulk glass",1,,"Glass"
"ceram.glass",2,,"Ceram. glass"
"Class and crystal",2,,"Class and crystal"
"Glear glass",1,0,"Clear glass"
"Clear glass",1,0,"Clear glass"
"Clear glass (cast)",1,0,"Clear glass (cast)"
"Clear glass (Quenched)",1,0,"Clear glass (quenched)"
"Clear glass with crystalline part",2,0,"Clear glass + crystal"
"Clear glass containing a crystalline part",2,0,"Clear glass + crystal"
"Clear glass + crystal",2,0,"Clear glass + crystal"
"Cloudy melts",0,1,"Cloudy melts"
"Complete devitr. on upper surface",2,,"Complete devitr. on upper surface"
"Complete devitrification",3,,"Complete devitrification"
"Complete opacity",0,1,"Complete opacity"
"Composition melts above 1300oC",0,,"Composition melts above 1300oC"
"Sinter",3,,"Crystal"
"cryst.",3,,"Crystal"
"Cristal",3,,"Crystal"
"Crysrtal",3,,"Crystal"
"Crystallized",3,,"Crystal"
"Crysta",3,,"Crystal"
"crystals",3,,"Crystal"
"Grystal",3,,"Crystal"
"Ceramic",3,,"Crystal"
"Refractory",3,,"Crystal"
"Sintered",3,,"Crystal"
"Crystallization",2,,"Crystal"
"Crystalline",3,,"Crystal"
"Crystall",3,,"Crystal"
"Crystal",3,,"Crystal"
"Non-glassy phase",3,,"Crystal"
"Crystal + Ag",3,,"Crystal + Ag"
"Crystal + phase separation",2,1,"Crystal + phase separation"
"Crystals + phase-separation",2,1,"Crystal + phase separation"
"Crystal on the surface",2,,"Crystal on the surface"
"Crystal or imperfect melt",2,,"Crystal or imperfect melt"
"Crystal or multi phase",2,,"Crystal or phase separation"
"Crystal or phase separation",3,,"Crystal or phase separation"
"Crystal, 1100-1500°C, 10-25 kbar",3,,"Crystal, 1100-1500°C, 10-25 kbar"
"Crystal, 1100-1500oC, 10-25 kbar",3,,"Crystal, 1100-1500oC, 10-25 kbar"
"Crystalline compounds",2,,"Crystalline compounds"
"Crystallization during working",2,,"Crystallization during working"
"Melt crystallized during pouring",3,,"Crystallized during pouring"
"Crystallized during pouring",3,,"Crystallized during pouring"
"Crystallized in solution",3,,"Crystallized in solution"
"Devitrified",3,,"Devitrification"
"Devitrification",3,,"Devitrification"
"experimental composition",0,,"Experimental composition"
"Fast crystallized glass",3,,"Fast crystallized glass"
"Fully devitrified glass",3,0,"Fully devitrified glass"
"Glass forming",1,0,"Glass"
"Glass",1,0,"Glass"
"Glasses",1,0,"Glass"
"Glassy phase",2,0,"Glass"
"glass+",1,,"Glass"
"Glass (15 g of batch)",1,0,"Glass (15 g of batch)"
"Glass (5 g of batch)",1,0,"Glass (5 g of batch)"
"Glass (air-cooled)",1,0,"Glass (air-cooled)"
"Glass (clay crucible)",1,0,"Glass (clay crucible)"
"Glass (kyanite crucible)",1,0,"Glass (kyanite crucible)"
"Glass (quenched in water)",1,0,"Glass (quenched in water)"
"Glass + bubbles",1,,"Glass + bubbles"
"Glass with babls",1,0,"Glass + bubbles"
"Glass with bubbles",1,0,"Glass + bubbles"
"Glass+ceramic",2,0,"Glass + crystal"
"Glass with crystalline part",2,0,"Glass + crystal"
"Glass with crystal",2,0,"Glass + crystal"
"Glass containinng a crystalline part",2,0,"Glass + crystal"
"Glass containing crystalline part",2,0,"Glass + crystal"
"glass and crystals",2,0,"Glass + crystal"
"Glass containing a crystaliine part",2,0,"Glass + crystal"
"Glass containing a cryatalline part",2,0,"Glass + crystal"
"Glass+crystal",2,0,"Glass + crystal"
"Glass containing a crystalline part",2,0,"Glass + crystal"
"Partial crystallization",2,0,"Glass + crystal"
"Some glass",2,0,"Glass + crystal"
"Partly glass",2,0,"Glass + crystal"
"Partly crystalline partly glassy",2,0,"Glass + crystal"
"Partially devitrified glass",2,0,"Glass + crystal"
"crystal+glass",2,,"Glass + crystal"
"Partially crystallization",2,0,"Glass + crystal"
"Glass+crysatl",2,0,"Glass + crystal"
"Partially crystal",2,0,"Glass + crystal"
"Glass and crystal",2,0,"Glass + crystal"
"Part glass",2,0,"Glass + crystal"
"Glass-ceramic",2,0,"Glass + crystal"
"Glass=crystal",2,0,"Glass + crystal"
"Glass+crystals",2,0,"Glass + crystal"
"Glass+crystall",2,0,"Glass + crystal"
"Partially crystallized",2,0,"Glass + crystal"
"Class+crystal",2,0,"Glass + crystal"
"Partially crystalline",2,0,"Glass + crystal"
"Glass + cristal",2,0,"Glass + crystal"
"Crystal with glass",2,0,"Glass + crystal"
"Contained crystalline material",2,0,"Glass + crystal"
"Partly crystalline",2,0,"Glass + crystal"
"Glass + crystal",2,0,"Glass + crystal"
"Glass  and crystal",2,,"Glass + crystal"
"glass+cryst.",2,,"Glass + crystal"
"glas+crystal",2,,"Glass + crystal"
"Glass and  crystal",2,,"Glass + crystal"
"Glass + crystal (formation in water)",2,0,"Glass + crystal (formation in water)"
"Glass+crystal or crystal",2,0,"Glass + crystal or crystal"
"Glass + crystal or crystal",2,0,"Glass + crystal or crystal"
