"UNIT","TOSI","FROMSI","IDF","GREEK","AtMol"
"-1                            ",,,,"-1                            ",false
"-B",,,"      ","-B",false
"[cm/week]^-1                  ",,,,"[cm/week]^-1                  ",false
"/",,,"      ","/",false
"/D",,,"      ","/D                            ",false
"/g glass",,,"      ","/g glass",false
"%",,,,"%",false
"% by analysis",,,"      ","% by analysis",false
"%/cm2",,,,"%/cmÂ",false
"%/h",,,"      ","%/h",false
"%/in2",,,,"%/inÂ",false
"%/Microm2",,,,"%/õmÂ",false
"%/min",,,,"%/min",false
"%/mm2",,,,"%/mmÂ",false
"%/mm2.h",,,,"%/(mmÂ·h)",false
"^-1                           ",,,,"^-1                           ",false
"1/2",,,"      ","1/2",false
"1/h.A^3",,,"      ","1/(h·ÊÃ)",false
"a.u.",,,"      ","a.u.",false
"Angstrom","U_*1E-10","U_*1E10","WAV","Ê",false
"at.%                          ",,,,"at.%                          ",false
"atm","U_*1.01E5","U_/1.01E5 ","PRE","atm",false
"atm^-1",,,,"atm¬Á",false
"atm^1/2",,,,"atmÁÑÂ",false
"atom/s.cm.atm","U_*3.6817E-25","U_/3.6817E-25","PER","atoms/(s·cm·atm)",false
"atoms/cm3",,,,"atoms/cmÃ",false
"atoms/cm3.atm","U_*3.6817E-25","U_/3.6817E-25","SOL","atoms/(cmÃ·atm)",false
"atoms/cm3.Pa","U_*3.7305E-20","U_/3.7305E-20","SOL","atoms/(cmÃ·Pa)",false
"atoms/g",,,"      ","atoms/g",false
"atoms/g.atm",,,,"atoms/g·atm",false
"atoms/s.cm.atm","U_*3.6817E-25","U_/3.6817E-25","PER","atoms/(s·cm·atm)",false
"atoms/s.cm.K.atm",,,,"atoms/(s·cm·K·atm)",false
"atoms/s.cm.Pa","U_*3.7305E-20","U_/3.7305E-20","PER","atoms/(s·cm·Pa)",false
"bar","U_*1E5","U_/1E5","MDU","bar",false
"bar-1","U_*1E-5","U_*1E5","CMP","bar¬Á",false
"bar[p]","U_*1E5","U_/1E5","PRE","bar",false
"Brewster","U_*1E-12","U_*1E12","SOC","Brewster",false
"Btu.in/h.ft2.oF","U_*0.14413","U_/0.14413","THC","Btu·in/(h·ftÂ·°F)",false
"Btu/h.ft.oF","U_*1.7296","U_/1.7296","THC","Btu/(h·ft·°F)",false
"Btu/lb.oC","U_*4184","U_/4184","HTC","Btu/(lb·°C)",false
"cal",,,"      ","cal",false
"cal.K/g-atom",,,"      ","cal·K/g-atom",true
"cal/cm.s.K","U_*4.184E2","U_/4.184E2","THC","cal/(cm·s·K)",false
"cal/cm3.K",,,"      ","cal/(cmÃ·K)",false
"cal/g","U_*4.184E3","U_/4.184E3","ENT","cal/g",false
"cal/g-atom","U_*4184/g_atom","U_/4184*g_atom","ENT","cal/g-atom",true
"cal/g-atom.K","U_*4184/g_atom","U_/4184*g_atom","HTC","cal/(g-atom·K)",true
"cal/g-atom.K2","U_*4184/g_atom","U_/4184*g_atom","HC1   ","cal/(g-atom·KÂ)",true
"cal/g.K","U_*4.184E3","U_/4.184E3","HTC","cal/(g·K)",false
"cal/mol","U_*4184/g_mol","U_/4184*g_mol","ENT","cal/mol",true
"cal/mol.K","U_*4184/g_mol","U_/4184*g_mol","HTC","cal/(mol·K)",true
"cm","U_*0.01","U_/0.01","LEN","cm",false
"cm-1","U_*1E2","U_/1E2","RLE","cm¬Á",false
"cm[S.T.P.]/mol.atm",,,,"cm[S·T·P·]/(mol·atm)",true
"cm/cm",,,,"cm/cm",false
"cm/min","U_/6000","U_*6000","VEL","cm/min",false
"cm/s","U_*1E-2","U_*1E2","VEL","cm/s",false
"cm/week                       ",,,,"cm/week                       ",false
"cm^-1","1E-2/U_","1E2/U_","WAV","cm¬Á",false
"cm^-2.s^-1",,,,"cm¬Â·s¬Á",false
"cm^-3",,,,"cm¬Ã",false
"cm^-3.h^-1","U_*1E6/3600","U_*1E-6*3600","VNU","cm¬Ã·h¬Á",false
"cm^-3.min^-1","U_*1E6/60","U_*1E-6*60","VNU","cm¬Ã·min¬Á",false
"cm^-3.s^-1","U_*1E6","U_*1E-6","VNU","cm¬Ã·s¬Á",false
"cm^3/g",,,"      ","cmÃ/g",false
"cm^3/g-atom",,,"      ","cmÃ/g-atom",false
"cm^3/mol",,,"      ","cmÃ/mol",true
"cm^3/s",,,"      ","cm^3/s                        ",false
"cm2","U_*1E-4","U_*1E4","ARE","cmÂ",false
"cm2.min",,,"      ","cmÂ·min",false
"cm2.s^1/2",,,"      ","cmÂ·sÁÑÂ",false
"cm2/day","U_/864E6","U_*864E6","DIF","cmÂ/day",false
"cm2/dyn","U_*10","U_/10","SOC","cmÂ/dyn",false
